Name.of.School,Code,Level.of.Education,Status.of.School,Sponsor.of.School,School.Institution.Type_1,School.Institution.Type_2,School.Institution.Type_3,Pupil.Teacher.Ratio,Pupil.Classroom.Ratio,Pupil.Toilet.Ratio,Total.Number.of.Classrooms,Boys.Toilets,Girls.Toilets,Teachers.Toilets,Total.Toilets,Total.Boys,Total.Girls,Total.Enrolment,GOK.TSC.Male,GOK.TSC.Female,Local.Authority.Male,Local.Authority.Female,PTA.BOG.Male,PTA.BOG.Female,Others.Male,Others.Female,Non.Teaching.Staff.Male,Non.Teaching.Staff.Female,Province,District,Division,Location,Costituency,Geolocation,_Geolocation_latitude,_Geolocation_longitude,_Geolocation_altitude,_Geolocation_precision,meta/instanceID,_uuid,_submission_time
PCEA NJATHAINI PRI,890,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,28.6,20,22.2,10,2,7,1,0,0,0,200,6,1,0,0,0,0,0,0,1,1,CENTRAL,NYERI,MATHIRA,RUGURU,MATHIRA,-0.386284 37.106355,n/a,n/a,n/a,n/a,uuid:c37ccab2-8ec4-4f32-9001-6e3e3722d3b9,c37ccab2-8ec4-4f32-9001-6e3e3722d3b9,2013-03-04T08:25:32
KABUMBU NEHEMA ACADEMY,712,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.8,5.7,6.8,6,3,2,2,0,0,0,34,0,0,0,0,0,0,2,3,1,0,CENTRAL,KIRINYAGA,CENTRAL-KIRINYAGA,KERUGOYA,KERUGOYA/KUTUS,-0.475135 37.27756,n/a,n/a,n/a,n/a,uuid:0ef037d5-76fd-40cd-a442-7978e0658d9e,0ef037d5-76fd-40cd-a442-7978e0658d9e,2013-03-04T08:23:57
KANOGA PRI SCH,88,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,26.8,22.9,17.8,14,9,9,3,0,0,0,321,2,10,0,0,0,0,0,0,1,0,CENTRAL,NYERI,MUNICIPALITY,MUKARO,NYERI TOWN,-0.432574 36.926904,n/a,n/a,n/a,n/a,uuid:9d09c1f0-8495-42b1-acd6-3d110c9ce58d,9d09c1f0-8495-42b1-acd6-3d110c9ce58d,2013-03-04T08:14:07
MUGAAINI PRI SCH,1399,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,48,51.7,29.2,13,10,13,2,0,0,0,672,6,8,0,0,0,0,0,0,1,0,CENTRAL,MARAGUA,KANDARA,MURUKA,KANDARA,-0.914287 37.012339,n/a,n/a,n/a,n/a,uuid:b7fbe90d-04a8-45f2-8bd9-21a2963fa4c0,b7fbe90d-04a8-45f2-8bd9-21a2963fa4c0,2013-03-04T08:32:51
KIANGWENYI UPPERHILL ACADEMY,660,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.4,19.6,26.2,8,2,4,1,0,0,0,157,0,0,0,0,0,0,4,5,3,2,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,GICHUGU,-0.444219 37.289805,n/a,n/a,n/a,n/a,uuid:ce7efa65-8aae-44b7-be65-4cd1756c0d60,ce7efa65-8aae-44b7-be65-4cd1756c0d60,2013-03-04T08:22:05
MATUNDA COMPLEX ACADEMY,10804,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,LUGARI,LIKUYANI,NZOIA,LUGARI,0.79966 35.08878,n/a,n/a,n/a,n/a,uuid:e956cdc4-5da6-473d-a935-3c96e4a30682,e956cdc4-5da6-473d-a935-3c96e4a30682,2013-03-04T11:09:43
MAJENGO SPECIAL UNIT,10867,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,SPECIAL SCHOOL,6,6,NA,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,WESTERN,LUGARI,LUGARI,LUMAKANDA,LUGARI,0.65113 34.9983,n/a,n/a,n/a,n/a,uuid:0b8c99e9-4b7c-47a5-83c3-523b5bcd18db,0b8c99e9-4b7c-47a5-83c3-523b5bcd18db,2013-03-04T11:09:53
ICHAGAKI PRI SCH,1259,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,43.1,27,19,24,16,18,2,0,0,0,647,10,5,0,0,0,0,0,0,1,1,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,-0.807343 37.087844,n/a,n/a,n/a,n/a,uuid:e7041464-b689-452b-b194-56be03579018,e7041464-b689-452b-b194-56be03579018,2013-03-04T08:31:35
NGINDA PRI,1236,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,INTEGRATED,40.2,34.4,19,21,22,16,4,0,0,0,723,11,7,0,0,0,0,0,0,1,1,CENTRAL,MARAGUA,MARAGUA,NGINDA,MARAGWA,-0.786362 37.086688,n/a,n/a,n/a,n/a,uuid:72a4066b-2971-48fd-b5d7-445e05e680cf,72a4066b-2971-48fd-b5d7-445e05e680cf,2013-03-04T08:31:36
KIANGAI PRI,1299,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,44.5,44.5,44.5,8,4,4,2,0,0,0,356,4,4,0,0,0,0,0,0,0,0,CENTRAL,MARAGUA,KIGUMO,KINYONA,KIGUMO,-0.766686 36.911385,n/a,n/a,n/a,n/a,uuid:db107e16-d9b4-433f-b893-dcfa48b022e2,db107e16-d9b4-433f-b893-dcfa48b022e2,2013-03-04T08:31:31
MARAGUA SUMMIT JUNIOR PRI,1252,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,12,15,15,8,4,4,2,0,0,0,120,0,0,0,0,0,0,6,4,3,4,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,-0.807031 37.121288,n/a,n/a,n/a,n/a,uuid:09a725cb-6657-43c3-85c0-79fe730f6bc6,09a725cb-6657-43c3-85c0-79fe730f6bc6,2013-03-04T08:31:34
